Status, Date, Latitude, Longitude, Count
1, 3/14/2020, 42.671, -71.496, 1
1, 3/14/2020, 41.628, -71.475, 1
1, 3/14/2020, 42.61, -71.455, 1
1, 3/14/2020, 42.625, -71.434, 1
1, 3/14/2020, 42.61, -71.434, 1
1, 3/14/2020, 42.579, -71.434, 2
1, 3/14/2020, 42.549, -71.434, 1
1, 3/14/2020, 42.564, -71.414, 1
1, 3/14/2020, 42.549, -71.414, 2
1, 3/14/2020, 42.472, -71.414, 1
1, 3/14/2020, 42.364, -71.414, 2
1, 3/14/2020, 42.15, -71.414, 1
1, 3/14/2020, 42.472, -71.393, 1
1, 3/14/2020, 42.457, -71.393, 1
1, 3/14/2020, 42.441, -71.373, 1
1, 3/14/2020, 42.318, -71.373, 1
1, 3/14/2020, 42.303, -71.373, 1
1, 3/14/2020, 42.196, -71.373, 2
1, 3/14/2020, 42.18, -71.373, 1
1, 3/14/2020, 42.595, -71.352, 1
1, 3/14/2020, 42.579, -71.352, 2
1, 3/14/2020, 42.564, -71.352, 3
1, 3/14/2020, 42.549, -71.352, 4
1, 3/14/2020, 42.564, -71.332, 1
1, 3/14/2020, 42.549, -71.332, 1
1, 3/14/2020, 42.518, -71.332, 1
1, 3/14/2020, 42.104, -71.332, 1
1, 3/14/2020, 42.595, -71.311, 2
1, 3/14/2020, 42.579, -71.311, 3
1, 3/14/2020, 42.364, -71.291, 1
1, 3/14/2020, 42.119, -71.291, 1
1, 3/14/2020, 42.104, -71.291, 3
1, 3/14/2020, 42.088, -71.291, 1
1, 3/14/2020, 42.073, -71.291, 1
1, 3/14/2020, 42.641, -71.27, 1
1, 3/14/2020, 42.61, -71.27, 1
1, 3/14/2020, 42.503, -71.27, 1
1, 3/14/2020, 42.487, -71.27, 1
1, 3/14/2020, 42.134, -71.27, 1
1, 3/14/2020, 42.073, -71.27, 2
1, 3/14/2020, 42.641, -71.25, 2
1, 3/14/2020, 42.61, -71.25, 1
1, 3/14/2020, 42.119, -71.25, 4
1, 3/14/2020, 41.751, -71.25, 1
1, 3/14/2020, 41.689, -71.25, 1
1, 3/14/2020, 42.717, -71.229, 5
1, 3/14/2020, 42.625, -71.229, 1
1, 3/14/2020, 42.579, -71.229, 1
1, 3/14/2020, 41.766, -71.229, 1
1, 3/14/2020, 41.751, -71.229, 2
1, 3/14/2020, 42.549, -71.209, 1
1, 3/14/2020, 42.441, -71.209, 1
1, 3/14/2020, 42.426, -71.209, 1
1, 3/14/2020, 42.15, -71.209, 1
1, 3/14/2020, 42.15, -71.188, 1
1, 3/14/2020, 42.104, -71.188, 1
1, 3/14/2020, 42.088, -71.188, 1
1, 3/14/2020, 41.474, -71.188, 2
1, 3/14/2020, 42.15, -71.168, 2
1, 3/14/2020, 41.613, -71.168, 1
1, 3/14/2020, 42.61, -71.147, 1
1, 3/14/2020, 42.41, -71.147, 2
1, 3/14/2020, 42.196, -71.147, 1
1, 3/14/2020, 42.625, -71.127, 1
1, 3/14/2020, 42.503, -71.127, 1
1, 3/14/2020, 42.395, -71.127, 1
1, 3/14/2020, 41.781, -71.127, 1
1, 3/14/2020, 41.613, -71.127, 1
1, 3/14/2020, 42.641, -71.106, 1
1, 3/14/2020, 42.426, -71.106, 1
1, 3/14/2020, 42.395, -71.106, 1
1, 3/14/2020, 42.364, -71.106, 1
1, 3/14/2020, 42.349, -71.106, 1
1, 3/14/2020, 42.395, -71.086, 1
1, 3/14/2020, 42.38, -71.086, 1
1, 3/14/2020, 41.674, -71.086, 1
1, 3/14/2020, 42.426, -71.065, 1
1, 3/14/2020, 42.41, -71.065, 1
1, 3/14/2020, 42.364, -71.065, 1
1, 3/14/2020, 42.687, -71.045, 1
1, 3/14/2020, 42.364, -71.045, 1
1, 3/14/2020, 41.843, -71.045, 1
1, 3/14/2020, 42.441, -71.024, 1
1, 3/14/2020, 41.843, -71.024, 3
1, 3/14/2020, 42.671, -71.004, 1
